bodyname; position x; position y; position z
jupiter; -0.3065439047876967; 5.123186738092525; -0.01442421422181536
saturn; 3.213764591439137; 8.479835952279776; -0.2751975971210198
uranus; 16.041940215914565; -11.913201341775322; -0.2523050621036597
neptune; 18.43602394863324; -23.793101790797788; 0.0652142307783885
sun; 0.0034326837334895982; -0.003951748339150278; -6.614615767464637e-05
jupiter; -1.0268108097473647; 5.065487620924619; 0.0019335980458991481
saturn; 2.684509503340498; 8.651566322952991; -0.25711441273371155
uranus; 16.259376682925765; -11.627942353482075; -0.25406983503041664
neptune; 18.668957985249662; -23.606830023998896; 0.05602414026124384
sun; 0.003900050221367531; -0.003463132376833212; -7.998992056489471e-05
jupiter; -1.7536426994541956; 4.902363556724775; 0.018875245609503617
saturn; 2.124689144596049; 8.797010106749346; -0.23735710946723187
uranus; 16.47941964168028; -11.327596956890911; -0.2558125322773036
neptune; 18.90891406244734; -23.410944210591357; 0.04647475250684442
sun; 0.004258269528074205; -0.0038184138938895306; -8.755823101508357e-05
jupiter; -2.4695686561153276; 4.628089800684667; 0.036033642332512716
saturn; 1.5354186452513834; 8.911753745846411; -0.2158937073937721
uranus; 16.7013408839759; -11.01181878421874; -0.2575224209584444
neptune; 19.155645441889842; -23.205188085904492; 0.036566473263074134
sun; 0.004717277078499488; -0.0031819398128917205; -0.00010210911842844302
jupiter; -3.1552844658563854; 4.239934010874976; 0.05298826303598605
saturn; 0.9183325027563255; 8.991273806543814; -0.19271097419721522
uranus; 16.9243733740527; -10.680272026360404; -0.25918830268388904
neptune; 19.408891345630686; -22.98930010094914; 0.026299922164948475
sun; 0.00503980498453661; -0.003452707056472086; -0.00010948370699033484
jupiter; -3.790120481752509; 3.738599490406789; 0.06927376069091393
saturn; 0.2756320756657112; 9.030989671257052; -0.16781718243831115
uranus; 17.147710912522946; -10.332634199800442; -0.2607985217467587
neptune; 19.66837659223776; -22.76301400961685; 0.015675954305305176
sun; 0.005450286895551756; -0.0026675330417316656; -0.00012385782536020553
jupiter; -4.3526350633735795; 3.128625287599656; 0.08439158938355844
saturn; -0.389870086386498; 9.02633808168603; -0.14124520811939975
uranus; 17.37050727076627; -9.968599180917051; -0.26234096265170687
neptune; 19.93381101553922; -22.52605940008951; 0.004695683295868044
sun; 0.005695190463117077; -0.0028602023451581335; -0.00013007891096230626
jupiter; -4.821244932294109; 2.418682082895276; 0.09782287221550598
saturn; -1.0747143245201916; 8.972846775986014; -0.11305519400711016
uranus; 17.591876105444523; -9.587880202955544; -0.26380306287953686
neptune; 20.204889117750525; -22.278162354057557; -0.006639495830431117
sun; 0.006014664402869318; -0.0019406218603978355; -0.0001432642954062274
jupiter; -5.174968142057533; 1.6217888238253981; 0.10904413539578928
saturn; -1.7747681969362008; 8.866231846409288; -0.08333731797909788
uranus; 17.81089027095376; -9.190213212852115; -0.2651718133308672
