bodyname; position x; position y; position z
sun;0.0134623;0.000698685;-0.00036394
jupiter;-5.46472;-0.206299;0.121939
saturn;2.70865;-9.73931;0.0538151
uranus;20.0972;0.682492;-0.256878
neptune;-29.7677;6.39018;0.553824
sun;0.00243695;0.00119485;-7.081e-05
jupiter;4.22871;-2.71741;-0.081768
saturn;9.25398;-3.09547;-0.321508
uranus;18.608;7.35166;-0.213621
neptune;-30.4666;0.777223;0.685413
sun;0.0105135;-0.00800904;-0.000194655
jupiter;-3.30387;4.13806;0.0549658
saturn;6.67023;6.33886;-0.374974
uranus;14.8436;13.1174;-0.144297
neptune;-30.1063;-4.8629;0.793174
sun;0.0105082;0.000488921;-0.000279859
jupiter;-0.145596;-5.28383;0.0264931
saturn;-3.25231;8.43926;-0.00965354
uranus;9.21267;17.2254;-0.0569219
neptune;-28.7016;-10.3345;0.87342
sun;0.0106615;-0.00664928;-0.00031352
jupiter;1.72827;4.7366;-0.0593043
saturn;-9.4356;0.581975;0.371162
uranus;2.37972;19.069;0.0377908
neptune;-26.3022;-15.4482;0.9234
sun;0.0156734;0.00360868;-0.000481682
jupiter;-4.49256;-3.09911;0.113118
saturn;-5.69521;-8.18543;0.366641
uranus;-4.77129;18.2866;0.127149
neptune;-22.9912;-20.0266;0.941376
sun;0.00414955;0.000822547;-0.000170368
jupiter;4.91756;0.574589;-0.111509
saturn;3.43147;-9.48668;0.0197262
uranus;-11.2234;14.8644;0.197995
neptune;-18.8821;-23.9101;0.926678
sun;0.0120253;-0.00185919;-0.000274909
jupiter;-5.16476;1.65274;0.107043
saturn;9.42274;-2.293;-0.342303
uranus;-15.9776;9.20663;0.23891
neptune;-14.1159;-26.9621;0.87974
sun;0.00513888;0.00153745;-0.000121181
jupiter;2.89386;-4.22643;-0.0453758
saturn;5.99644;6.92299;-0.35758
uranus;-18.2507;2.12425;0.242733
neptune;-8.85693;-29.0729;0.802091
sun;0.011927;-0.00719097;-0.000279681
jupiter;-1.52287;4.96425;0.0116977
saturn;-4.0901;8.08865;0.030513
uranus;-17.6632;-5.29116;0.208498
neptune;-3.28728;-30.1645;0.696314
sun;0.0135379;0.00497375;-0.000425471
jupiter;-2.05108;-4.96684;0.0673151
saturn;-9.49388;-0.28191;0.388384
uranus;-14.3341;-11.8898;0.141871
neptune;2.39836;-30.193;0.565991
sun;0.00648784;-0.000651456;-0.000249664
jupiter;3.43477;3.59501;-0.0920887
saturn;-5.00336;-8.65296;0.34635
uranus;-8.83888;-16.7012;0.0537946
neptune;7.99906;-29.1513;0.415601
sun;0.011624;0.00426838;-0.000338869
jupiter;-5.29678;-1.40753;0.123437
saturn;4.1987;-9.16328;-0.0170045
uranus;-2.05696;-19.1011;-0.0421122
neptune;13.3144;-27.0698;0.250384
sun;-5.84824e-05;0.00198312;-1.54474e-05
jupiter;4.74894;-1.4942;-0.0985259
saturn;9.56023;-1.46559;-0.361829
uranus;5.01824;-18.8703;-0.132336
neptune;18.1517;-24.0166;0.0761722
sun;0.009225;-0.00545014;-0.000179178
jupiter;-4.22605;3.29113;0.078923
saturn;5.32733;7.43268;-0.338724
uranus;11.4423;-16.1587;-0.20528
neptune;22.3332;-20.0958;-0.1008
sun;0.00664467;0.00204085;-0.000207081
jupiter;1.10537;-5.10205;-0.00183223
saturn;-4.82127;7.6972;0.0670049
uranus;16.4283;-11.4058;-0.252391
neptune;25.7027;-15.4446;-0.274112
sun;0.00834352;-0.00570684;-0.000263978
jupiter;0.453978;5.07788;-0.0327399
saturn;-9.48062;-1.08021;0.401154
uranus;19.4049;-5.25343;-0.268623
neptune;28.1325;-10.2288;-0.437404
sun;0.0107196;0.00465218;-0.000361389
jupiter;-3.67737;-4.00275;0.099117
saturn;-4.34291;-9.03189;0.325578
uranus;20.0417;1.53346;-0.252481
neptune;29.5285;-4.63727;-0.584624
sun;0.000271405;-0.00161271;-5.00898e-05
jupiter;4.57282;1.87628;-0.109572
saturn;4.86681;-8.79897;-0.0508153
uranus;18.2607;8.1339;-0.205911
neptune;29.8351;1.12537;-0.710273
sun;0.0086974;-0.00312645;-0.000172399
jupiter;-5.43884;0.456148;0.118297
saturn;9.58747;-0.647181;-0.377073
uranus;14.2425;13.7334;-0.134152
neptune;29.0379;6.84627;-0.809636
sun;0.00163975;-0.00241433;-1.07844e-05
jupiter;3.82599;-3.31465;-0.0698434
saturn;4.55759;7.88102;-0.315077
uranus;8.42897;17.5922;-0.04555
neptune;27.164;12.3132;-0.87898
sun;0.0112319;-0.0100053;-0.000238289
jupiter;-2.71489;4.49932;0.0399581
saturn;-5.57432;7.19905;0.106194
uranus;1.51219;19.1293;0.0488865
neptune;24.2824;17.3232;-0.915715
sun;0.0110387;0.00174533;-0.000331325
jupiter;-0.841492;-5.25754;0.042023
saturn;-9.38666;-1.9356;0.411861
uranus;-5.60478;18.0216;0.136428
neptune;20.5007;21.6909;-0.918501
sun;0.00681481;-0.00537492;-0.000194803
jupiter;2.37749;4.40614;-0.0723502
saturn;-3.58303;-9.37854;0.300349
uranus;-11.9001;14.3031;0.204065
neptune;15.9605;25.2557;-0.887297
